"actual_intent","akreditasi","elearning_dan_absensi","kalender_dan_pengumuman","kebijakan_kampus","kerja_praktek_dan_magang","kurikulum_dan_mata_kuliah","layanan_akademik_dan_kontak","pembayaran_dan_biaya","perpustakaan_dan_jurnal","seminar_proposal","status_dan_perpindahan_mahasiswa","surat_dan_legalisir","tugas_akhir"
"akreditasi","4","0","0","0","0","0","0","0","0","0","0","0","0"
"elearning_dan_absensi","0","5","0","0","0","0","0","0","0","0","0","0","0"
"kalender_dan_pengumuman","0","0","5","0","0","0","0","0","0","0","0","0","0"
"kebijakan_kampus","0","1","0","3","0","0","0","0","0","0","0","0","0"
"kerja_praktek_dan_magang","0","0","0","0","6","0","0","0","0","1","0","0","0"
"kurikulum_dan_mata_kuliah","0","0","0","0","0","7","0","0","0","0","0","0","0"
"layanan_akademik_dan_kontak","1","0","0","0","0","0","3","0","0","0","0","0","0"
"pembayaran_dan_biaya","0","0","0","0","0","0","0","4","0","0","0","0","0"
"perpustakaan_dan_jurnal","0","0","0","0","0","0","0","0","4","0","0","0","0"
"seminar_proposal","0","0","0","0","0","0","0","0","0","4","0","0","0"
"status_dan_perpindahan_mahasiswa","0","0","0","0","0","0","0","0","0","0","7","0","0"
"surat_dan_legalisir","0","0","0","0","0","0","2","0","0","0","0","3","0"
"tugas_akhir","0","0","0","0","0","0","0","0","0","0","0","0","7"
